id_,created_at,tweetID,tweet,username,id_str,name,entity,commentcount,likes,retweets,quotes,replies,sentiment,bidang,gender,link,imageUrl
1259,January-24,1.7523E+18,"Detik-detik Mobil honda Jazz tergelincir. ?di jalan Tol Ungaran semarang banyumanik. ""Tetep fokus lan waspada dalam berkendara dikala hujan melanda"" Selasa, 30/01/2024 ?info kejadian...",Ilhamtob,1.68857E+18,mr.alergi,Honda,0,1992,134,3788,0,NULL,NULL,NULL,https://twitter.com/Ilhamtob/status/1752302873843781758,https://pbs.twimg.com/ext_tw_video_thumb/1752302835386269696/pu/img/IkwA-ejRR3X6C7no.jpg:large
1091,January-24,1.75248E+18,"#WulingQuiz Enaknya liburan akhir tahun pakai mobil Wuling apa ya? Pilih & jelaskan alasannya! Menangkan hadiah saldo E-Wallet total senilai Rp500ribu utk 5 (@) on X ✨ Waktunya Kuis Alfamart ?

Yang udah kumpulin Stamp MoriiHome pasti tau jawaban #KuisAlfamart hari ini.
Coba jawab, ""Berapa Stamp yang ditukar untuk Moriihome Casserole yang di pegang Pragos?""

Follow, Like &amp; Komen jawabannya di postingan #KuisAlfamart terbaru hari ini ?⁣",iinrosita29,1828531525,Iin Rosita,Wuling,NULL,NULL,NULL,NULL,207,NULL,NULL,NULL,https://twitter.com/iinrosita29,https://pbs.twimg.com/media/GFIDNLbaoAARtQK.jpg:large
1265,January-24,1.75255E+18,Mobil Honda Jazz kabur saat akan ditilang polisi di Tol Pasar Rebo. Mobil tersebut ditilang karena melanggar bahu jalan tol. Begini duduk perkaranya.Translate post,detikcom,69183155,detikcom,Honda,0,22026126,42,2341131,0,NULL,NULL,NULL,https://twitter.com/detikcom/status/1752550271564349886,https://pbs.twimg.com/profile_images/1777591926935748608/E9N4gA5T_200x200.jpg
604,January-24,1.75257E+18,"Kap dan bodi depan mobil Toyota Fortuner rusak akibat tertimpa besi hollow yang jatuh dari truk di Tol Pancoran, Jakarta Selatan, Kamis (7/9/2023). Kejadian Mamang Didiet (@didietnih) on X Producer, video maker, photographer, founder @dajok_ekspress, #teamBandung",didietnih,51116266,Mamang Didiet,Toyota,NULL,NULL,NULL,NULL,25,NULL,NULL,NULL,https://twitter.com/didietnih,https://pbs.twimg.com/profile_images/1271836593939075073/fH13tl6s_200x200.jpg
1267,January-24,1.75259E+18,"Kecelakaan tunggal kembali terjadi di jalanan Kota Malang. Setidaknya tiga kali dalam sepekan. Kemarin (30/1), mobil Honda Brio bernomor polisi (nopol) N 1586 AAX terbalik di Jalan Letjen Sutoyo....",radar_malang,528590547,jawaposradarmalang,Honda,0,120615,178,214082,0,NULL,NULL,NULL,https://twitter.com/radar_malang/status/1752587520041185678,https://pbs.twimg.com/media/GFJejl3aEAA38xP.jpg:large
1268,January-24,1.75265E+18,"Pilih yang terganteng!? Menurut Mimin sih yang kiri, kalo kamu yang mana? #Suzuki #SuzukiIndonesia #SuzukiTeManBerkendara #YourGearTranslate post",SuzukiIndonesia,214823582,Official Suzuki Indonesia,Suzuki,0,56105,35,34421,0,NULL,NULL,NULL,https://twitter.com/SuzukiIndonesia/status/1752650832838062555,https://pbs.twimg.com/media/GFKql0RasAA1q2o.jpg:large
1064,January-24,1.7527E+18,Alhamdulillah yaallah orang tua ku bangga lihat anaknya udah di lantik Anggota KPPS. Semoga bisa amanah mengabdi untuk negara,MzLong18,1.33079E+18,Si-bapakanak2,Wuling,1,NULL,NULL,NULL,1,NULL,NULL,NULL,https://mobile.twitter.com/mzlong18,https://pbs.twimg.com/profile_images/1332881329453613056/5yM9LSXN_200x200.jpg
1272,February-24,1.75291E+18,Suzuki Indonesia Tutup Peluang Hadirkan Saluto 125 di Tanah Air https://otomotif.tempo.co/read/1828362/suzuki-indonesia-tutup-peluang-hadirkan-saluto-125-di-tanah-air?utm_source=Twitter&utm_medium=...,tempodotco,18129942,tempo.co,Suzuki,1,2256811,18,1339009,1,NULL,NULL,NULL,https://twitter.com/tempodotco/status/1752907148995244195,https://pbs.twimg.com/profile_images/1580466468629594112/Q-zcV6aQ_200x200.jpg
1009,February-24,1.75293E+18,"Polisi mengatakan jika peristiwa mobil Mitsubishi Pajero dengan pelat dinas Polri yang ugal-ugalan dan nyaris buat pengemudi MPV celaka itu benar, maka bisa Syafii (@Syafii93930988) on X syafii",Syafii93930988,1.28036E+18,Syafii,Mitsubishi,0,NULL,NULL,NULL,1,NULL,NULL,NULL,https://twitter.com/Syafii93930988,https://pbs.twimg.com/profile_images/1334269396835950594/-qPMAYiN_200x200.jpg
1274,February-24,1.75293E+18,"Yuk ajak si kecil untuk main dan belajar di Kidzania! Nggak akan mahal kok karena ada diskon hingga 50% khusus untuk kamu pemilik kendaraan Mobil Mitsubishi. Hemat kan? Yuk, langsung ke Kidzania...",semuasale,7.43023E+17,Semua.Sale,Mitsubishi,0,572,294,7218,0,NULL,NULL,NULL,https://mobile.twitter.com/semuasale/status/1752934852800675863,https://pbs.twimg.com/media/GFOs9QMW8AABkAb.jpg:large
